epoch,accuracy,auc,loss,lr,val_accuracy,val_auc,val_loss,phase_key,phase,epoch_in_phase,epoch_cum
0,0.6805185079574585,0.7579302787780762,0.5804418325424194,0.0001,0.5447942018508911,0.4855343997478485,0.8205947875976562,full,v5,0,0
1,0.6728936433792114,0.7633280754089355,0.562315821647644,0.0001,0.5484261512756348,0.4927001297473907,0.9941747784614564,full,v5,1,1
2,0.6747998595237732,0.7712277173995972,0.5619663596153259,0.0001,0.5520581007003784,0.4930749535560608,1.3427878618240356,full,v5,2,2
3,0.6713686585426331,0.7735307216644287,0.5567014813423157,0.0001,0.5453994870185852,0.5175608396530151,0.9612154960632324,full,v5,3,3
4,0.6829965710639954,0.779129683971405,0.5580291748046875,0.0001,0.5405569076538086,0.5637868642807007,0.7430445551872253,full,v5,4,4
5,0.6837590336799622,0.7901574373245239,0.5340061783790588,0.0001,0.5296609997749329,0.5418261289596558,0.8341800570487976,full,v5,5,5
6,0.7026305794715881,0.8011792302131653,0.5402083396911621,0.0001,0.5478208065032959,0.5728145837783813,0.7735319137573242,full,v5,6,6
7,0.6953869462013245,0.8026525974273682,0.5283195972442627,0.0001,0.555084764957428,0.580153226852417,0.8041844964027405,full,v5,7,7
8,0.7035836577415466,0.8126872181892395,0.5128981471061707,0.0001,0.5508474707603455,0.5747905969619751,0.8075078725814819,full,v5,8,8
9,0.7148303389549255,0.8210610151290894,0.5071657299995422,0.0001,0.5702179074287415,0.6180123686790466,0.8897364139556885,full,v5,9,9
10,0.7148303389549255,0.8160074949264526,0.5188791751861572,0.0001,0.5569007396697998,0.6128271222114563,0.8748222589492798,full,v5,10,10
11,0.7378955483436584,0.8359830379486084,0.4907576143741607,0.0001,0.5768765211105347,0.6185540556907654,0.7755382061004639,full,v5,11,11
12,0.7314144372940063,0.8340393900871277,0.4899404346942901,0.0001,0.5859563946723938,0.6224465370178223,0.7624026536941528,full,v5,12,12
13,0.7274113893508911,0.835573136806488,0.4860082268714905,0.0001,0.5708232522010803,0.6098504066467285,0.7712432742118835,full,v5,13,13
14,0.7371330261230469,0.8412021398544312,0.4898563027381897,0.0001,0.5623486638069153,0.6041711568832397,0.7388338446617126,full,v5,14,14
15,0.7439954280853271,0.8482104539871216,0.467776894569397,5e-05,0.6035109162330627,0.6365835666656494,0.7147002220153809,full,v5,15,15
16,0.7499046921730042,0.8598242998123169,0.4526840150356293,5e-05,0.5859563946723938,0.6355127692222595,0.7290184497833252,full,v5,16,16
17,0.7640106678009033,0.8681004643440247,0.4455766081809997,5e-05,0.6071428656578064,0.6431717872619629,0.782863974571228,full,v5,17,17
18,0.7744948267936707,0.8703205585479736,0.4442541599273681,5e-05,0.6131961345672607,0.639633297920227,0.7865533232688904,full,v5,18,18
19,0.7796416282653809,0.8763730525970459,0.4307240545749664,5e-05,0.5956416726112366,0.6297232508659363,0.7527354955673218,full,v5,19,19
20,0.7886008620262146,0.8880109190940857,0.4117653667926788,2.5e-05,0.5907990336418152,0.6293976306915283,0.9062119722366332,full,v5,20,20
21,0.797941267490387,0.8914902806282043,0.4072718918323517,2.5e-05,0.5799031257629395,0.6276921033859253,0.9344176054000854,full,v5,21,21
22,0.8061380386352539,0.8979958295822144,0.3954708278179168,1.25e-05,0.5750605463981628,0.6270334720611572,0.9485340118408204,full,v5,22,22
23,0.8089973330497742,0.9031514525413512,0.3859632313251495,1.25e-05,0.5768765211105347,0.6331775784492493,0.9175276160240172,full,v5,23,23
24,0.8095691800117493,0.9013302326202391,0.391486793756485,6.25e-06,0.5768765211105347,0.6320949792861938,0.92670476436615,full,v5,24,24
25,0.803850531578064,0.8996336460113525,0.3909140527248382,6.25e-06,0.5853511095046997,0.6324391961097717,0.9242299795150756,full,v5,25,25
0,0.7668700218200684,0.8588711023330688,0.4757822453975677,5e-06,0.5920096635818481,0.6213527321815491,0.8528330326080322,finetune,v5_finetune (8),0,26
1,0.7693480849266052,0.8650273084640503,0.4672058224678039,5e-06,0.5871670842170715,0.6332684755325317,0.8647224307060242,finetune,v5_finetune (8),1,27
2,0.7865040302276611,0.8735074400901794,0.4540904760360718,5e-06,0.6041162014007568,0.6404081583023071,0.7880545854568481,finetune,v5_finetune (8),2,28
