epoch,accuracy,auc,loss,lr,val_accuracy,val_auc,val_loss,model,phase_key,phase,epoch_in_phase,epoch_cum
0,0.7241182327270508,0.814144492149353,0.5717042684555054,0.0001,0.5823244452476501,0.621343731880188,0.7526811361312866,ResNet50,full,ResNet full,0,0
1,0.7224022746086121,0.8127522468566895,0.5656623244285583,0.0001,0.5490314960479736,0.5907933712005615,0.8500241041183472,ResNet50,full,ResNet full,1,1
2,0.7222116589546204,0.8184267282485962,0.5562125444412231,0.0001,0.5792978405952454,0.634968101978302,0.7707876563072205,ResNet50,full,ResNet full,2,2
3,0.7235462069511414,0.8185214996337891,0.5537019371986389,0.0001,0.5490314960479736,0.5614895820617676,1.1583008766174316,ResNet50,full,ResNet full,3,3
4,0.7372735738754272,0.8252424001693726,0.5486982464790344,0.0001,0.5605326890945435,0.5936613082885742,0.8482584953308105,ResNet50,full,ResNet full,4,4
5,0.7391801476478577,0.8334847688674927,0.5369962453842163,5e-05,0.5811138153076172,0.6304311156272888,0.7842046618461609,ResNet50,full,ResNet full,5,5
6,0.7477597594261169,0.8430505990982056,0.5258210301399231,5e-05,0.5671913027763367,0.6465843915939331,0.8024840950965881,ResNet50,full,ResNet full,6,6
7,0.7626310586929321,0.856782853603363,0.5086778402328491,5e-05,0.5714285969734192,0.6541204452514648,0.7974496483802795,ResNet50,full,ResNet full,7,7
8,0.7624404430389404,0.8578341007232666,0.50631183385849,5e-05,0.5998789072036743,0.649437427520752,0.8006376624107361,ResNet50,full,ResNet full,8,8
9,0.7723546028137207,0.8625079393386841,0.5011921525001526,5e-05,0.5968523025512695,0.6621527671813965,0.7611978650093079,ResNet50,full,ResNet full,9,9
10,0.7729265689849854,0.8643382787704468,0.4975708723068237,5e-05,0.5998789072036743,0.6600300073623657,0.7545220851898193,ResNet50,full,ResNet full,10,10
11,0.7788369655609131,0.8675556182861328,0.4963449239730835,5e-05,0.5895884037017822,0.6667940616607666,0.8380826711654663,ResNet50,full,ResNet full,11,11
12,0.7633937001228333,0.8561277985572815,0.5088546872138977,0.0001,0.5538740754127502,0.6326329112052917,1.0500568151474,ResNet50,full,ResNet full,12,12
13,0.7653002738952637,0.8618454933166504,0.5007737874984741,0.0001,0.6150121092796326,0.68992680311203,0.7850074172019958,ResNet50,full,ResNet full,13,13
14,0.7683508396148682,0.8624061346054077,0.4967225193977356,0.0001,0.5786924958229065,0.6651898622512817,0.7819530367851257,ResNet50,full,ResNet full,14,14
15,0.767588198184967,0.8602750301361084,0.5015268921852112,0.0001,0.592615008354187,0.6613897681236267,0.806656539440155,ResNet50,full,ResNet full,15,15
16,0.7914204001426697,0.8844447135925293,0.4682464003562927,5e-05,0.6113801598548889,0.6716678738594055,0.7752617597579956,ResNet50,full,ResNet full,16,16
17,0.7938989400863647,0.8870029449462891,0.4642270505428314,5e-05,0.5956416726112366,0.6430138349533081,0.8147208094596863,ResNet50,full,ResNet full,17,17
18,0.8026692271232605,0.8927947878837585,0.4567059874534607,2.5e-05,0.5980629324913025,0.6584272384643555,0.7815696597099304,ResNet50,full,ResNet full,18,18
19,0.8101048469543457,0.8984237313270569,0.4477681517601013,2.5e-05,0.5889830589294434,0.6706224679946899,0.8630527853965759,ResNet50,full,ResNet full,19,19
20,0.8108674883842468,0.903102159500122,0.4395339787006378,1.25e-05,0.5907990336418152,0.6660690903663635,0.8859087228775024,ResNet50,full,ResNet full,20,20
21,0.8198283910751343,0.9086307287216188,0.4313011169433594,1.25e-05,0.5768765211105347,0.6685726642608643,0.9481875896453856,ResNet50,full,ResNet full,21,21
0,0.816968560218811,0.9000239968299866,0.4075272679328918,2e-06,0.5907990336418152,0.663031280040741,1.088489055633545,ResNet50,finetune,ResNet finetune,0,22
1,0.8436606526374817,0.9204787015914916,0.3681190907955169,2e-06,0.6004842519760132,0.6734538674354553,0.9729111790657043,ResNet50,finetune,ResNet finetune,1,23
2,0.7998093366622925,0.8843753337860107,0.4597635269165039,2e-06,0.5871670842170715,0.6743509769439697,1.0255391597747805,ResNet50,finetune,ResNet finetune,2,24
3,0.8083889484405518,0.8859525918960571,0.4485268294811249,2e-06,0.5944309830665588,0.6653388738632202,0.9671350121498108,ResNet50,finetune,ResNet finetune,3,25
4,0.8211629986763,0.8976848125457764,0.4213135540485382,2e-06,0.5974576473236084,0.6675041913986206,0.9873278141021729,ResNet50,finetune,ResNet finetune,4,26
5,0.8131554126739502,0.898224949836731,0.4193157255649566,1e-06,0.59382563829422,0.6673827171325684,1.0208511352539062,ResNet50,finetune,ResNet finetune,5,27
6,0.8177312016487122,0.8995873928070068,0.4178694784641266,1e-06,0.5956416726112366,0.6638889312744141,0.9874285459518432,ResNet50,finetune,ResNet finetune,6,28
7,0.8036224842071533,0.894058108329773,0.4272929728031158,5e-07,0.582929790019989,0.6669110655784607,1.1522480249404907,ResNet50,finetune,ResNet finetune,7,29
8,0.8194471001625061,0.8989913463592529,0.4185681343078613,5e-07,0.5883777141571045,0.6694854497909546,1.085144281387329,ResNet50,finetune,ResNet finetune,8,30
0,0.6575786471366882,0.7295956611633301,0.7071154713630676,0.0001,0.5121065378189087,0.536034345626831,0.8545657992362976,VGG16,full,VGG16 full,0,0
1,0.6562440395355225,0.7402368783950806,0.6708859801292419,0.0001,0.5115011930465698,0.5537285208702087,1.0222042798995972,VGG16,full,VGG16 full,1,1
2,0.6724499464035034,0.7450380325317383,0.6733309030532837,0.0001,0.5441888570785522,0.5826522707939148,0.8726734519004822,VGG16,full,VGG16 full,2,2
3,0.6608198285102844,0.7331995964050293,0.6807482242584229,0.0001,0.5847457647323608,0.6429922580718994,1.0240918397903442,VGG16,full,VGG16 full,3,3
0,0.6703526973724365,0.7494471669197083,0.6655195951461792,0.0001,0.5768765211105347,0.6146973371505737,0.8982237577438354,VGG16,full,VGG16 full,0,4
1,0.6596758961677551,0.7339869737625122,0.6982506513595581,0.0001,0.5466101765632629,0.5907009840011597,0.9998754262924194,VGG16,full,VGG16 full,1,5
2,0.6812202334403992,0.769885778427124,0.6081377863883972,0.0001,0.5684019327163696,0.6152188777923584,0.8416985869407654,VGG16,full,VGG16 full,2,6
3,0.6825548410415649,0.7755924463272095,0.5971426963806152,0.0001,0.5429782271385193,0.5898359417915344,0.8251736164093018,VGG16,full,VGG16 full,3,7
4,0.6762630939483643,0.769347071647644,0.6019325256347656,0.0001,0.5242130756378174,0.5753509402275085,1.0200555324554443,VGG16,full,VGG16 full,4,8
5,0.6852239966392517,0.7798536419868469,0.580322802066803,5e-05,0.5357142686843872,0.5848943591117859,1.0062193870544434,VGG16,full,VGG16 full,5,9
6,0.708293616771698,0.8002544641494751,0.5749063491821289,5e-05,0.5435835123062134,0.5961894989013672,0.9995188117027284,VGG16,full,VGG16 full,6,10
7,0.7092468738555908,0.8078660368919373,0.5616336464881897,2.5e-05,0.5411622524261475,0.6049072742462158,1.0060482025146484,VGG16,full,VGG16 full,7,11
8,0.7077216506004333,0.8138744831085205,0.548250138759613,2.5e-05,0.5544794201850891,0.6154863834381104,0.866277277469635,VGG16,full,VGG16 full,8,12
9,0.7283126711845398,0.8230031728744507,0.5401243567466736,2.5e-05,0.5296609997749329,0.5824213027954102,1.2004982233047483,VGG16,full,VGG16 full,9,13
10,0.7235462069511414,0.8212372660636902,0.5449147820472717,2.5e-05,0.5496367812156677,0.6041979193687439,0.9325113892555236,VGG16,full,VGG16 full,10,14
11,0.7267873883247375,0.8250957727432251,0.5355150103569031,1.25e-05,0.5363196134567261,0.5887688994407654,1.0752031803131104,VGG16,full,VGG16 full,11,15
12,0.7410867214202881,0.8399748802185059,0.5214468836784363,1.25e-05,0.5502421259880066,0.5949839353561401,1.0848424434661863,VGG16,full,VGG16 full,12,16
0,0.7313631772994995,0.819075345993042,0.5381059646606445,2e-06,0.5308716893196106,0.5916353464126587,1.2437046766281128,VGG16,finetune,VGG16 finetune,0,17
1,0.7161105871200562,0.8056507110595703,0.5761529803276062,2e-06,0.5405569076538086,0.5951038599014282,1.3626775741577148,VGG16,finetune,VGG16 finetune,1,18
2,0.6421353816986084,0.6822515726089478,1.2055344581604004,2e-06,0.5671913027763367,0.5769551396369934,5.591509819030762,VGG16,finetune,VGG16 finetune,2,19
3,0.6442326307296753,0.694998562335968,1.0379241704940796,2e-06,0.564769983291626,0.5781369209289551,4.454745292663574,VGG16,finetune,VGG16 finetune,3,20
4,0.6274546980857849,0.6792193651199341,0.8551068902015686,1e-06,0.5641646385192871,0.5796055793762207,4.0725274085998535,VGG16,finetune,VGG16 finetune,4,21
5,0.6381315588951111,0.6969788670539856,0.7856816649436951,1e-06,0.5641646385192871,0.600567102432251,3.142974853515625,VGG16,finetune,VGG16 finetune,5,22
6,0.667683482170105,0.7236593961715698,0.7216607928276062,1e-06,0.564769983291626,0.6065696477890015,2.7829630374908447,VGG16,finetune,VGG16 finetune,6,23
7,0.6667302250862122,0.7318900227546692,0.6765806674957275,1e-06,0.5659806132316589,0.6394932270050049,2.237844467163086,VGG16,finetune,VGG16 finetune,7,24
8,0.6680648326873779,0.7384178638458252,0.674433171749115,1e-06,0.564769983291626,0.6542016863822937,2.161900281906128,VGG16,finetune,VGG16 finetune,8,25
9,0.6760724782943726,0.7473065257072449,0.6533234119415283,1e-06,0.5641646385192871,0.663748025894165,1.8110671043395996,VGG16,finetune,VGG16 finetune,9,26
10,0.673403263092041,0.7559303641319275,0.6096219420433044,1e-06,0.5738498568534851,0.6399320363998413,1.2588162422180176,VGG16,finetune,VGG16 finetune,10,27
